REGISTRATION_KEY, HARDWARE_ID, DEVICE_NAME,CATEGORY_A,CATEGORY_B, CATEGORY_C, CATEGORY_D, CATEGORY_E, CATEGORY_F, CATEGORY_G, CATEGORY_H, CATEGORY_I, CATEGORY_J
97bb144a-3cae-475d-8623-b191a307f46a,97bb144a-3cae-475d-8623-b191a307f46a,97bb144a-3cae-475d-8623-b191a307f46a,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
6ebd3b16-91da-4ad2-b39a-c740a655c177,6ebd3b16-91da-4ad2-b39a-c740a655c177,6ebd3b16-91da-4ad2-b39a-c740a655c177,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
8915273b-e846-4708-9d82-2abd489a1282,8915273b-e846-4708-9d82-2abd489a1282,8915273b-e846-4708-9d82-2abd489a1282,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
8c4e2108-de8f-42ba-81d5-18580e7b881f,8c4e2108-de8f-42ba-81d5-18580e7b881f,8c4e2108-de8f-42ba-81d5-18580e7b881f,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
baf16d60-02f7-44ed-9c02-8e8aed1698ab,baf16d60-02f7-44ed-9c02-8e8aed1698ab,baf16d60-02f7-44ed-9c02-8e8aed1698ab,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
1efdb225-03c2-444f-995d-3a7c77733186,1efdb225-03c2-444f-995d-3a7c77733186,1efdb225-03c2-444f-995d-3a7c77733186,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
276cfb85-c47b-4d51-a02f-523d9de20adb,276cfb85-c47b-4d51-a02f-523d9de20adb,276cfb85-c47b-4d51-a02f-523d9de20adb,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
72b4478e-4e0e-4c4d-ba05-4d0291618d96,72b4478e-4e0e-4c4d-ba05-4d0291618d96,72b4478e-4e0e-4c4d-ba05-4d0291618d96,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
fdf6a48e-fdf5-4432-a031-e789dd0fc5d7,fdf6a48e-fdf5-4432-a031-e789dd0fc5d7,fdf6a48e-fdf5-4432-a031-e789dd0fc5d7,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
05bcc289-9ef4-445f-9fd5-a21f7d7f785d,05bcc289-9ef4-445f-9fd5-a21f7d7f785d,05bcc289-9ef4-445f-9fd5-a21f7d7f785d,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
fb3b65bb-c34e-4034-84a3-44c85f32d521,fb3b65bb-c34e-4034-84a3-44c85f32d521,fb3b65bb-c34e-4034-84a3-44c85f32d521,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
dd8bb51a-d403-4636-91bb-6fbf96b81f0e,dd8bb51a-d403-4636-91bb-6fbf96b81f0e,dd8bb51a-d403-4636-91bb-6fbf96b81f0e,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
0eff1fab-fabd-4d49-956c-639cd19d46a1,0eff1fab-fabd-4d49-956c-639cd19d46a1,0eff1fab-fabd-4d49-956c-639cd19d46a1,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
6a1115b0-2eb7-4cfd-90f2-001579c5346b,6a1115b0-2eb7-4cfd-90f2-001579c5346b,6a1115b0-2eb7-4cfd-90f2-001579c5346b,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
78474bbb-c811-4203-96f0-ef5ebdbd9d1e,78474bbb-c811-4203-96f0-ef5ebdbd9d1e,78474bbb-c811-4203-96f0-ef5ebdbd9d1e,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
b2ca0734-df1e-4fd3-af6b-8568a1c35b74,b2ca0734-df1e-4fd3-af6b-8568a1c35b74,b2ca0734-df1e-4fd3-af6b-8568a1c35b74,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
7b9c9f4f-de51-4baa-bbcd-1078821b46fe,7b9c9f4f-de51-4baa-bbcd-1078821b46fe,7b9c9f4f-de51-4baa-bbcd-1078821b46fe,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
a3b11014-fc0c-4a3e-8c26-e10d0af2d5b0,a3b11014-fc0c-4a3e-8c26-e10d0af2d5b0,a3b11014-fc0c-4a3e-8c26-e10d0af2d5b0,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
fd6bf204-9372-4af8-8bd6-3eb145e3c0ee,fd6bf204-9372-4af8-8bd6-3eb145e3c0ee,fd6bf204-9372-4af8-8bd6-3eb145e3c0ee,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired
1272c648-52fa-4b82-886f-76f0875d9e05,1272c648-52fa-4b82-886f-76f0875d9e05,1272c648-52fa-4b82-886f-76f0875d9e05,Cat A,Cat B,Cat C,you,may,leave,these,columns,blank,ifdesired